Handle,craft,fabric,color,Product Types
zarah-anarkali-set,"Thread Embroidery, Sequin Embroidery","Mulmul, Cotton",Pink,Anarkali Set
iba-tunic,"Thread Embroidery, Sequin Embroidery",Mulmul,Gold,Tunic Set
abia-tunic,"Thread Embroidery, Sequin Embroidery",Mulmul,Beige,Tunic Set
aqsa-anarkali-set,"Thread Embroidery, Sequin Embroidery, Gota Patti","Cotton, Mulmul",Gold,Anarkali Set
nadira-kurta-set,Thread Embroidery,Mulmul,Uncategorized,Kurta Set
naaz-anarkali-set,Applique Work,Mulmul,Uncategorized,Anarkali Set
ghazal-kurta-set,Zardozi Embroidery,"Georgette, Tussar",Pink,Kurta Set
mysha-tunic,Applique Work,Cotton,Pink,Uncategorized
aliya-tunic,Applique Work,Mulmul,Uncategorized,Uncategorized
heer-kurta-set,Thread Embroidery,Cotton,Beige,Kurta Set
zehra-kurta-set,Thread Embroidery,Mulmul,Pink,Kurta Set
atifa-kurta-set,Thread Embroidery,Mulmul,Uncategorized,Kurta Set
faiza-kurta-set,Thread Embroidery,Cotton,Uncategorized,Kurta Set
huma-anarkali-set,Applique Work,Mulmul,Beige,Anarkali Set
samira-kurta-set,Applique Work,Mulmul,Pink,Kurta Set
misha-tunic,Thread Embroidery,Cotton,Uncategorized,Uncategorized
qirat-kurta-set,Thread Embroidery,Mulmul,Beige,Kurta Set
kiah-tunic,Thread Embroidery,Mulmul,Uncategorized,Tunic Set
tisha-tunic,Thread Embroidery,Mulmul,Beige,Uncategorized
amira-anarkali-set,Thread Embroidery,Cotton,Uncategorized,Anarkali Set
renne-tunic-set,Sequin Embroidery,Munga,Uncategorized,Tunic Set
linda-tunic-set,Swarovski,"Georgette, Silk",Uncategorized,Tunic Set
albeli-kurta-set,Thread Embroidery,"Mulmul, Organza",Pink,Kurta Set
donna-anarkali-set,"Thread Embroidery, Bead Work","Chanderi, Mulmul",Uncategorized,Anarkali Set
devika-anarkali-set,Applique Work,Mulmul,"Yellow, White",Anarkali Set
mah-liqa-a-line,Thread Embroidery,"Tussar, Georgette, Silk",Uncategorized,Kurta Set
farhana-a-line,Bead Work,"Georgette, Silk",Uncategorized,Kurta Set
gamila-dress,Thread Embroidery,Cotton,Yellow,Dress
kaashi-lehenga-set,"Dabka Work, Gota Patti, Pearl Work, Sequin Embroidery, Zardozi Embroidery",Raw Silk,Uncategorized,Lehenga Set
kali-kurta-set,"Thread Embroidery, Pearl Work, Sequin Embroidery",Cotton,Uncategorized,Kurta Set
sada-bahar-gharara-set,"Thread Embroidery, Sequin Embroidery",Cotton,Red,Gharara Set
gulachin-kurta-set,"Thread Embroidery, Pearl Work, Sequin Embroidery",Mulmul,Uncategorized,Kurta Set
sunheri-anarkali-set,"Applique Work, Zari Work, Sequin Embroidery",Mulmul,Gold,Anarkali Set
kumdani-kurta-set,"Applique Work, Zari Work, Sequin Embroidery","Mulmul, Tissue","Green, Pink",Kurta Set
nitaraa-anarkali-set,"Applique Work, Zari Work, Sequin Embroidery",Mulmul,Silver,Anarkali Set
basanti-kurta-set,"Zari Work, Thread Embroidery, Sequin Embroidery",Mulmul,Green,Kurta Set
bela-gharara-set,"Zari Work, Thread Embroidery, Sequin Embroidery","Mulmul, Organza","Yellow, Blue",Gharara Set
bhargavi-anarkali-set,"Zari Work, Thread Embroidery, Sequin Embroidery",Mulmul,Pink,Anarkali Set
ruhi-anarkali-set,"Zari Work, Thread Embroidery, Pearl Work, Sequin Embroidery",Raw Silk,Pink,Anarkali Set
phushp-anarkali-set,"Applique Work, Zari Work, Pearl Work, Sequin Embroidery",Mulmul,Yellow,Anarkali Set
gul-bahar-tunic-set,"Applique Work, Sequin Embroidery",Mulmul,Pink,Tunic Set
mogra-kurta-set,"Thread Embroidery, Sequin Embroidery","Mulmul, Organza","Green, White",Kurta Set
baghia-jumpsuit,"Thread Embroidery, Sequin Embroidery","Mulmul, Georgette","Green, White",Jumpsuit
aprajhita-kurta-set,"Applique Work, Thread Embroidery, Pearl Work, Sequin Embroidery",Mulmul,Pink,Kurta Set
magnolia-jumpsuit,Applique Work,"Georgette, Silk",Green,Jumpsuit
gudhal-tunic,Applique Work,Raw Silk,Pink,Jumpsuit
shuddhi-anarkali-set,Uncategorized,Mulmul,White,Anarkali Set
rutvi-anarkali-set,Uncategorized,"Mulmul, Organza",Pink,Anarkali Set
siya-kurta-set,Uncategorized,"Mulmul, Organza",Yellow,Kurta Set
nargis-kurta-set,Uncategorized,"Mulmul, Organza","Green, Yellow",Kurta Set
trusha-tunic,Ajrakh,Silk,"Blue, Grey",Uncategorized
shrizal-anarkali-set,Ajrakh,Raw Silk,"Red, Blue",Anarkali Set
baidehi-kurta-set,"Ajrakh, Gota Patti","Raw Silk, Mulmul","Yellow, Green",Kurta Set
revathi-tunic-set,"Ajrakh, Gota Patti, Zari Work",Silk,Green,Tunic Set
urmila-anarkali-set,"Ajrakh, Gota Patti, Zari Work",Raw Silk,"Green, Grey",Anarkali Set
neelya-anarkali-set,"Ajrakh, Gota Patti, Zari Work","Cotton, Mulmul","Blue, Yellow",Anarkali Set
tejshri-anarkali-set,Ajrakh,"Cotton, Mulmul",Blue,Anarkali Set
heemakshi-tunic,Ajrakh,Raw Silk,Red,Uncategorized
