,Handle,Title,Type,Tags,Color (product.metafields.custom.colors),Craft (product.metafields.custom.craft),Delivery (product.metafields.custom.delivery),Fabric (product.metafields.custom.fabric),Fit (product.metafields.custom.fit),List of Colors (product.metafields.custom.list_of_colors),description,Fabric,Embroidery,Craft,Fit,Delivery
124,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
125,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
126,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
127,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
128,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
129,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
130,eden-co-ordinate-set-3570,Eden Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Loose Fit, New, Not On Sale, Pastel Yellow, Pret, Sabaa",,,,,,,"This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks
131,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
132,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
133,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
134,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
135,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
136,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
137,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
138,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
139,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
140,zafira-co-ordinate-set-3569,Zafira Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Ice Blue, Loose Fit, New, Not On Sale, Pret, Sabaa",,,,,,,"This ice blue co-ordinate set is crafted from handwoven silk chanderi. The kaftan style top features a touch neck with knotted sleeves. It is paired with straight fit pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads.",Handwoven Silk Chanderi,"This is adorned with cotton thread embroidery, enhanced with beads.","Cotton Thread Embroidery, Bead Work",Loose Fit,4-5 Weeks
141,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
142,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
143,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
144,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
145,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
146,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
147,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
148,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
149,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
150,aya-co-ordinate-set-3568,Aya Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Ice Blue, Loose Fit, New, Not On Sale, Pret, Sabaa",,,,,,,"This ice blue co-ordinate set is crafted from handwoven silk chanderi. The top features a flattering V-neckline with soft gathers at the center, full-length sleeves with gathered cuffs, and is paired with flared pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads and sequins.",Handwoven Silk Chanderi,"This is adorned with cotton thread embroidery, enhanced with beads and sequins.","Cotton Thread Embroidery, Bead Work, Sequin Embroidery",Loose Fit,4-5 Weeks
151,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
152,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
153,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
154,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
155,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
156,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
157,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
158,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
159,aya-co-ordinate-set-3568,,,,,,,,,,,,,,,
160,elena-co-ordinate-set-3567,Elena Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pastel Pink, Pret, Sabaa",,,,,,,"This pastel pink co-ordinate set is crafted from handwoven silk chanderi, features an asymmetrical shirt with a classic collar, full-length sleeves with cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
161,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
162,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
163,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
164,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
165,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
166,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
167,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
168,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
169,elena-co-ordinate-set-3567,,,,,,,,,,,,,,,
170,amina-co-ordinate-set-3566,Amina Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pastel Pink, Pret, Sabaa",,,,,,,"This pastel pink co-ordinate set is crafted from handwoven silk chanderi. The top features a lapel collar, full-length sleeves with gathered cuffs and gathers at the sideseam. It is paired with flared pants with pockets, adorned with multicoloured silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
171,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
172,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
173,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
174,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
175,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
176,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
177,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
178,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
179,amina-co-ordinate-set-3566,,,,,,,,,,,,,,,
